University of Texas at San Antonio Schedule of Classes

These are the search criteria you submitted :
Term: Fall 2019
Subject:     CS 
Course Number: %%
Attributes: Any
Part of Term: Any
Time Blocks: Any
Campus: Any

FALL 2019 (202010)
Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Final Exam,Fees,Notes,Comments
OPEN,CS,6953,023,12306,Independent Study,  3,TBA,TBA,Main Camp, ,Robinson, Mark A.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,024,12307,Independent Study,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,025,12973,Independent Study,  3,TBA,TBA,Main Camp, ,Robinson, Mark A.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,026,13692,Independent Study,  3,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,26,23691,Independent Study,  3,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6961,001,10796,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,002,11000,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,003,11224,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,004,11468,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,005,11469,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,006,11470,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,1,9,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,007,11471,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,008,11472,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,009,11474,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,010,11475,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,011,11476,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,012,11477,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,013,11478,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,014,11479,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,015,11480,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,016,11481,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,1,9,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,017,10258,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,018,11861,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,019,11862,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,10,1,9,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,020,12308,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,021,12309,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,1,9,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,022,12310,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,1,9,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,023,12311,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,024,12312,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,025,12974,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6961,026,13693,Comprehensive Examination,  1,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BEO, 
OPEN,CS,6981,001,13694,Master's Thesis,  1,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,002,13695,Master's Thesis,  1,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,003,13696,Master's Thesis,  1,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,004,13697,Master's Thesis,  1,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,005,13698,Master's Thesis,  1,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,006,13699,Master's Thesis,  1,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,, 
OPEN,CS,6981,007,13711,Master's Thesis,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,008,13712,Master's Thesis,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,009,13713,Master's Thesis,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,010,13714,Master's Thesis,  1,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,011,13715,Master's Thesis,  1,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,012,13716,Master's Thesis,  1,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,013,13717,Master's Thesis,  1,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,014,13718,Master's Thesis,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,015,13719,Master's Thesis,  1,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,016,13720,Master's Thesis,  1,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,017,13721,Master's Thesis,  1,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,5,1,4,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,018,13722,Master's Thesis,  1,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,019,13723,Master's Thesis,  1,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,020,13724,Master's Thesis,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,021,13725,Master's Thesis,  1,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,022,13726,Master's Thesis,  1,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,023,13727,Master's Thesis,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,024,13728,Master's Thesis,  1,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,025,13729,Master's Thesis,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6981,026,23747,Master's Thesis,  1,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,B, 
OPEN,CS,6982,001,13706,Master's Thesis,  2,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,002,13707,Master's Thesis,  2,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,003,13708,Master's Thesis,  2,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,004,13709,Master's Thesis,  2,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,005,13710,Master's Thesis,  2,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,006,13730,Master's Thesis,  2,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,007,13731,Master's Thesis,  2,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,008,13732,Master's Thesis,  2,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,009,13733,Master's Thesis,  2,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,010,13734,Master's Thesis,  2,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,011,13735,Master's Thesis,  2,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,012,13736,Master's Thesis,  2,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,013,13737,Master's Thesis,  2,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,014,13738,Master's Thesis,  2,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,015,13739,Master's Thesis,  2,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,016,13740,Master's Thesis,  2,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,017,13741,Master's Thesis,  2,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,018,13742,Master's Thesis,  2,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,019,13743,Master's Thesis,  2,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,020,13744,Master's Thesis,  2,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,021,13745,Master's Thesis,  2,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,022,13746,Master's Thesis,  2,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,023,13747,Master's Thesis,  2,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,024,13748,Master's Thesis,  2,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6982,025,13749,Master's Thesis,  2,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $80,B, 
OPEN,CS,6983,001,10791,Master's Thesis,  3,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,002,11001,Master's Thesis,  3,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,003,11002,Master's Thesis,  3,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,004,11003,Master's Thesis,  3,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,005,11004,Master's Thesis,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,006,11005,Master's Thesis,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,007,11521,Master's Thesis,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,008,11522,Master's Thesis,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,009,11523,Master's Thesis,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,010,11524,Master's Thesis,  3,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,011,11525,Master's Thesis,  3,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,012,11526,Master's Thesis,  3,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,013,11527,Master's Thesis,  3,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,014,11528,Master's Thesis,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,015,11529,Master's Thesis,  3,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,016,11530,Master's Thesis,  3,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,017,10176,Master's Thesis,  3,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,10,2,8,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,018,11863,Master's Thesis,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,019,12313,Master's Thesis,  3,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,020,12314,Master's Thesis,  3,TBA,TBA,Main Camp, ,Ku, Bernard S.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,021,12315,Master's Thesis,  3,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,022,12360,Master's Thesis,  3,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,023,12361,Master's Thesis,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,024,12316,Master's Thesis,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,O, 
OPEN,CS,6983,025,12975,Master's Thesis,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,026,13700,Master's Thesis,  3,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,BO, 
OPEN,CS,6983,027,23690,Master's Thesis,  3,TBA,TBA,Main Camp, ,Gomez-Morales, Mauricio Alejandro,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,BO, 
OPEN,CS,7211,001,12385,Doctoral Research,  1,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,002,12386,Doctoral Research,  1,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,003,12387,Doctoral Research,  1,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,004,12388,Doctoral Research,  1,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,005,13089,Doctoral Research,  1,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,006,13090,Doctoral Research,  1,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,007,13091,Doctoral Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,008,13092,Doctoral Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,009,13102,Doctoral Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,010,13093,Doctoral Research,  1,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,011,13094,Doctoral Research,  1,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,012,13095,Doctoral Research,  1,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,013,13096,Doctoral Research,  1,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,014,13097,Doctoral Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,015,13098,Doctoral Research,  1,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,016,13099,Doctoral Research,  1,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,017,13100,Doctoral Research,  1,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,018,13101,Doctoral Research,  1,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,019,13103,Doctoral Research,  1,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,020,13104,Doctoral Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,021,13105,Doctoral Research,  1,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,022,13106,Doctoral Research,  1,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,023,13107,Doctoral Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,024,13108,Doctoral Research,  1,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,025,13109,Doctoral Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7211,026,13701,Doctoral Research,  1,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $40,BO, 
OPEN,CS,7213,001,10751,Doctoral Research,  3,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,3,7,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,002,10798,Doctoral Research,  3,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,3,7,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,003,10799,Doctoral Research,  3,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,004,10902,Doctoral Research,  3,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,4,6,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,005,11019,Doctoral Research,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,006,11020,Doctoral Research,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,007,11021,Doctoral Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,008,11022,Doctoral Research,  3,TBA,TBA,Main Camp, ,Xie, Mimi,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,009,11531,Doctoral Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,010,11532,Doctoral Research,  3,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,011,11533,Doctoral Research,  3,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,4,6,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,012,11534,Doctoral Research,  3,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,2,8,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,013,11535,Doctoral Research,  3,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,5,5,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,014,11536,Doctoral Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,015,11537,Doctoral Research,  3,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,016,11538,Doctoral Research,  3,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,3,7,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,017,10633,Doctoral Research,  3,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,10,2,8,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,018,11864,Doctoral Research,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,019,11865,Doctoral Research,  3,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,10,3,7,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,020,12317,Doctoral Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,021,12318,Doctoral Research,  3,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,BO, 
OPEN,CS,7213,022,12319,Doctoral Research,  3,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,BO, 
